report_id,date,location,asset,report_type,narrative,sif_label,sif_label_reason,source_event_code,source_nature,data_source,narrative_provenance,context_provenance,sector_provenance
OIL-100250-0001,2024-09-01,KG Basin - Kakinada,Pipeline Section,Unsafe Act,"An employee was loading valves onto a lowboy trailer. When he stepped off the trailer, he tripped and fell to the ground, fracturing his right elbow and requiring overnight hospitalization.",1,"high-energy mechanism (Other fall to lower level, unspecified)","Other fall to lower level, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-247163-0002,2024-09-01,Tengakhat,Pipeline Section,Near Miss,"An employee was observing the processing of pipe and noticed something had fallen off or was not correct during the process. He was walking across the hot pipe to retrieve the part when he slipped and fell onto the pipe, suffering third degree burns to his buttocks and the anterior side of his thighs and left hand.",0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Third or fourth degree heat (thermal) burns,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-335827-0003,2024-09-01,Tengakhat,Pipeline Section,Unsafe Condition,"An employee was using a large wrench to tighten a bore on a boring pipeline. When he finished, he gave the all clear to start the boring. The pipe wrench was not removed from the bore; it swung around and struck him on his left-hand pinky finger, amputating the fingertip.",1,"high-energy mechanism (Struck by dislodged flying object, particle)","Struck by dislodged flying object, particle",Amputations,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-399138-0004,2024-09-01,Makum,Crude Oil Pump Station,Near Miss,An employee was hospitalized after sustaining an electrical shock while unscrewing a light bulb on a training rig.,1,"high-energy mechanism (Direct exposure to electricity, 220 volts or les)","Direct exposure to electricity, 220 volts or less","Electrocutions, electric shocks",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-444907-0005,2024-09-01,Chabua,Crude Oil Pump Station,Unsafe Act,"At 9:30 a.m. on August 26, 2020, an employee was cutting off fiberglass material that had wrapped around a roller on a production line. A chain and gear caught the employee's gloved-hand, causing a 3-millimeter fingertip amputation.",1,high-energy mechanism (Caught in running equipment or machinery during ),Caught in running equipment or machinery during regular operation,Amputations,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-490107-0006,2024-09-01,Naharkatiya,Group Gathering Station,Near Miss,"Two employees were detaching a boom from a high-track skid steer in order to place a gas line. The injured employee was positioned between the skid steer and the boom attachment while removing the hydraulic hoses. The other employee inadvertently caused the skid steer to track forward onto the injured employee's lower leg and foot, resulting in a fractured left tibia.",1,high-energy mechanism (Pedestrian struck by forward-moving vehicle in n),Pedestrian struck by forward-moving vehicle in nonroadway area,Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-495253-0007,2024-09-01,Kusijan,Drilling Rig,Unsafe Condition,An employee was mixing grout with a battery-powered drill when his glove was caught on the mixing pole and his right thumb was amputated.,0,low-energy mechanism (Injured by slipping or swinging object held by i),Injured by slipping or swinging object held by injured worker,Amputations,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-571365-0008,2024-09-01,Tengakhat,Pipeline Section,Unsafe Act,An employee was admitted to the hospital after suffering heat stress.,0,low-energy mechanism (Exposure to environmental heat),Exposure to environmental heat,"Effects of heat and light, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-577088-0009,2024-09-01,Kusijan,Workover Rig,Unsafe Act,An employee fell to the ground while carrying 30 lbs. of potato waste and broke a forearm.,0,"low-energy mechanism (Fall on same level, unspecified)","Fall on same level, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-646393-0010,2024-09-01,Duliajan,Central Workshop,Unsafe Act,An employee slipped/tripped while standing up from a desk. The employee's nose struck the desk and began to bleed. The employee was hospitalized.,0,low-energy mechanism (Fall on same level due to tripping over self),Fall on same level due to tripping over self,"Soreness, pain, hurt-nonspecified injury",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-659252-0011,2024-09-01,Duliajan,Crude Oil Pump Station,Unsafe Act,"An employee was walking up the steps of a work platform and missed a step, striking their toe on the edge of the platform. The employee fell to the metal platform and sustained a fractured elbow that required surgery.",0,"no high-energy mechanism identified (Slip, trip, stumble while stepping betwe)","Slip, trip, stumble while stepping between levels",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-714643-0012,2024-09-01,Jaisalmer - Tanot,Gas Compressor Station,Near Miss,An employee was injured by a gasoline-powered concrete saw with a diamond blade. The employee was cutting a core floor when the saw kicked back and cut his thigh.,0,low-energy mechanism (Injured by slipping or swinging object held by i),Injured by slipping or swinging object held by injured worker,"Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-716850-0013,2024-09-01,Digboi,LPG Plant,Unsafe Condition,"An employee was working as a hammer forge helper in a crew of seven employees. As the hammer forge cycled, a piece of metal shot out from it and broke the employee's lower right leg.",0,no high-energy mechanism identified (Struck by dislodged or detached object(s),Struck by dislodged or detached object(s),Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-742097-0014,2024-09-01,Jorajan,Oil Collecting Station,Unsafe Condition,Employee was using a 10 lb. sledge hammer to tighten a hammer union. The employee missed and caught his right index finger between the handle of the hammer and a valve handle.,0,low-energy mechanism (Injured by slipping or swinging object held by i),Injured by slipping or swinging object held by injured worker,Amputations,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-835305-0015,2024-09-01,Makum,Pipeline Section,Unsafe Act,"Two Rycon employees were installing glass marker boards in a nearly completed space. Each employee had a suction cup on the face of the board and a hand on the bottom of the board. Upon hanging the third board in sequence on a hang strip mounted to the wall, the board needed to be moved about half an inch to butt tightly to the adjacent one. When the employees moved the marker board, it shattered causing half of the board to fall and cause a severe laceration to an employee's left wrist.",0,no high-energy mechanism identified (Injured by object breaking in hand),Injured by object breaking in hand,"Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-858242-0016,2024-09-01,Digboi,Central Workshop,Unsafe Condition,"An employee was closing an overhead door with an attached tagline for closing the door. The bolt the tagline was attached to came loose and struck the employee in the head; the employee fell backwards, suffering a broken ankle.",0,"low-energy mechanism (Fall on same level, n.e.c.)","Fall on same level, n.e.c.",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-890169-0017,2024-09-01,Shalmari,Group Gathering Station,Unsafe Act,"An employee was stacking building materials on the ground. The ground was unstable, and the materials fell and broke the employee's right leg.",0,no high-energy mechanism identified (Struck by other falling object  n.e.c.),Struck by other falling object  n.e.c.,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-932382-0018,2024-09-01,Makum,Pipeline Section,Unsafe Act,An employee was loading boxes onto a pallet when the employee tripped over the corner of the pallet and suffered a broken hip.,0,low-energy mechanism (Fall on same level due to tripping over an objec),Fall on same level due to tripping over an object,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-966527-0019,2024-09-01,Makum,Crude Oil Pump Station,Near Miss,"While racking store fixtures, an employee was struck by a clothing rack that had become stuck in an overhead conveyor. The employee fell to the ground and was hospitalized with a fractured lower left leg.",0,"no high-energy mechanism identified (Fall, slip, trip, unspecified)","Fall, slip, trip, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-211220-0020,2024-09-02,Jaisalmer - Dandewala,Gas Compressor Station,Incident,"On September 7, 2015, an employee's left ankle was swollen after working in the acetic acid unit to clear/de-inventory the purification section. He was eventually hospitalized for ankle blisters and chemical burns.",0,"no high-energy mechanism identified (Exposure through intact skin, eyes, or o)","Exposure through intact skin, eyes, or other exposed tissue","Chemical burns and corrosions, unspecified",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-211336-0021,2024-09-02,Shalmari,Oil Collecting Station,Incident,An employee had delivered a parcel to a house and stepped off the step onto a walkway when she twisted her left ankle. She then tried to catch herself with her right leg and heard a pop. She fractured her right leg in three places and was hospitalized overnight.,0,"low-energy mechanism (Slip or trip without fall, n.e.c.)","Slip or trip without fall, n.e.c.",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
